COUNTRY CODE	IBA CODE	IBA NAME
"AQ"	"BIRDLIFE_29392"	"Byers Peninsula, Livingston Island"
"AQ"	"BIRDLIFE_30111"	"Cape Adare"
"AQ"	"BIRDLIFE_45182"	"Cape Batterbee"
"AQ"	"BIRDLIFE_45205"	"Cape Bienvenue"
"AQ"	"BIRDLIFE_29448"	"Cape Bowles, Clarence Island"
"AQ"	"BIRDLIFE_45233"	"Cape Colbeck"
"AQ"	"BIRDLIFE_30114"	"Cape Crozier, Ross Island"
"AQ"	"BIRDLIFE_30115"	"Cape Darnley"
"AQ"	"BIRDLIFE_45210"	"Cape Denison"
"AQ"	"BIRDLIFE_29468"	"Cape Evensen"
"AQ"	"BIRDLIFE_29443"	"Cape Garry, Low Island"
"AQ"	"BIRDLIFE_29422"	"Cape Hooker, Low Island"
"AQ"	"BIRDLIFE_45209"	"Cape Hunter"
"AQ"	"BIRDLIFE_45206"	"Cape Jules"
"AQ"	"BIRDLIFE_45220"	"Cape Main, Coulman Island"
"AQ"	"BIRDLIFE_45212"	"Cape Pigeon Rocks"
"AQ"	"BIRDLIFE_29462"	"Cape Robertson, Laurie Island"
"AQ"	"BIRDLIFE_30117"	"Cape Roget"
"AQ"	"BIRDLIFE_45219"	"Cape Wadworth, Coulman Island"
"AQ"	"BIRDLIFE_29447"	"Cape Wallace, Low Island"
"AQ"	"BIRDLIFE_30118"	"Cape Washington"
"AQ"	"BIRDLIFE_29425"	"Cape Whitson, Laurie Island"
"AQ"	"BIRDLIFE_29453"	"Cape Wollaston, Trinity Island"
"AQ"	"BIRDLIFE_45187"	"Caro Island, Rauer Islands"
"AQ"	"BIRDLIFE_45230"	"Caughley Beach, Cape Bird"
"AQ"	"BIRDLIFE_29432"	"Chinstrap Cove, Clarence Island"
"AQ"	"BIRDLIFE_29394"	"Cierva Point and offshore islands"
"AQ"	"BIRDLIFE_45202"	"Clark Peninsula"
"AQ"	"BIRDLIFE_30120"	"Coalseam Cliffs / Mount Faraway"
"AQ"	"BIRDLIFE_29407"	"Cockburn Island"
"AQ"	"BIRDLIFE_29474"	"Cormorant Island"
"AQ"	"BIRDLIFE_30113"	"Cotter Cliffs"
"AQ"	"BIRDLIFE_29400"	"Craggy Point, Clarence Island"
"AQ"	"BIRDLIFE_45208"	"Curzon Islands"
"AQ"	"BIRDLIFE_29434"	"Cuverville Island"
"AQ"	"BIRDLIFE_45227"	"Dailey Islands"
"AQ"	"BIRDLIFE_29487"	"Danger Islands"
"AQ"	"BIRDLIFE_30125"	"Dawson-Lambton Glacier"
"AQ"	"BIRDLIFE_45224"	"Depot Island"
"AQ"	"BIRDLIFE_29410"	"Devil Island"
"AQ"	"BIRDLIFE_45204"	"Dibble Glacier"
"AQ"	"BIRDLIFE_45217"	"Downshire Cliffs"
"AQ"	"BIRDLIFE_30126"	"Drescher Inlet (Dreschereisfrontkerbe)"
"AQ"	"BIRDLIFE_45216"	"Duke of York Island"
"AQ"	"BIRDLIFE_45226"	"Dunlop Island"
"AQ"	"BIRDLIFE_29485"	"Duroch Islands"
"AQ"	"BIRDLIFE_29454"	"D’Urville Monument, Joinville Island"
"AQ"	"BIRDLIFE_45174"	"Earle Island, Danger Islands"
"AQ"	"BIRDLIFE_29440"	"Eastern Litwin Bay, King George Island"
"AQ"	"BIRDLIFE_29398"	"Eden Rocks"
"AQ"	"BIRDLIFE_45221"	"Edmonson Point"
"AQ"	"BIRDLIFE_45240"	"Edwards Islands"
"AQ"	"BIRDLIFE_29426"	"Eillium Island"
"AQ"	"BIRDLIFE_29397"	"Emperor Island, Dion Islands"
"AQ"	"BIRDLIFE_29439"	"False Round Point, King George Island"
"AQ"	"BIRDLIFE_29437"	"Ferguslie Peninsula, Laurie Island"
"AQ"	"BIRDLIFE_29451"	"Ferrier Peninsula / Graptolite Island"
"AQ"	"BIRDLIFE_45189"	"Filla Island, Rauer Islands"
"AQ"	"BIRDLIFE_30157"	"Foyn Island"
"AQ"	"BIRDLIFE_45232"	"Franklin Island southwest"
"AQ"	"BIRDLIFE_29421"	"Fraser Point, Laurie Island"
"AQ"	"BIRDLIFE_45193"	"Gardner Island"
"AQ"	"BIRDLIFE_45183"	"Gibbney Island"
"AQ"	"BIRDLIFE_29463"	"Gibbon Bay, Coronation Island"
"AQ"	"BIRDLIFE_29461"	"Gibbs Island"
"AQ"	"BIRDLIFE_29473"	"Ginger Islands"
"AQ"	"BIRDLIFE_29476"	"Gosling Islands"
"AQ"	"BIRDLIFE_29438"	"Gourdin Island"
"AQ"	"BIRDLIFE_45225"	"Gregory Island"
"AQ"	"BIRDLIFE_45179"	"Gruber Mountains"
"AQ"	"BIRDLIFE_29441"	"Half Moon Island"
"AQ"	"BIRDLIFE_29469"	"Harmony Point, Nelson Island"
"AQ"	"BIRDLIFE_30131"	"Haswell Island"
"AQ"	"BIRDLIFE_29433"	"Heywood Island"
"AQ"	"BIRDLIFE_45199"	"Holl Island / O’Connor Island"
"AQ"	"BIRDLIFE_45188"	"Hop Island, Rauer Islands"
"AQ"	"BIRDLIFE_29411"	"Hope Bay"
"AQ"	"BIRDLIFE_45238"	"Hummer Point, Bear Peninsula"
"AQ"	"BIRDLIFE_29480"	"Inaccessible Islands"
"AQ"	"BIRDLIFE_30610"	"Indian Ocean, Antarctic and Southern 38 - Marine"
"AQ"	"BIRDLIFE_30442"	"Indian Ocean, Antarctic and Southern 45 - Marine"
"AQ"	"BIRDLIFE_30609"	"Indian Ocean, Antarctic and Southern 46 - Marine"
"AQ"	"BIRDLIFE_45223"	"Inexpressible Island"
"AQ"	"BIRDLIFE_29415"	"Island north of Dodman Island"
"AQ"	"BIRDLIFE_29414"	"Islet east of Guépratte Island"
"AQ"	"BIRDLIFE_29471"	"Islet south of Bates Island"
"AQ"	"BIRDLIFE_29413"	"Islet southwest of Cape Davidson, Laurie Island"
"AQ"	"BIRDLIFE_29445"	"Jameson Point, Low Island"
"AQ"	"BIRDLIFE_29486"	"Joubin Islands"
"AQ"	"BIRDLIFE_30132"	"Jutulsessen Mountain"
"AQ"	"BIRDLIFE_45214"	"Kartografov Island / Mount Archer"
"AQ"	"BIRDLIFE_45190"	"Kazak Island / Zolotov Island"
"AQ"	"BIRDLIFE_29417"	"Kellick Island, King George Island"
"AQ"	"BIRDLIFE_45186"	"Kirton Island / Macklin Island"
"AQ"	"BIRDLIFE_30134"	"Kloa Point"
"AQ"	"BIRDLIFE_45184"	"Klung Island / Welch Island"
"AQ"	"BIRDLIFE_45175"	"Lagotellerie Island"
"AQ"	"BIRDLIFE_29465"	"Larsen Islands / Moreton Point"
"AQ"	"BIRDLIFE_45242"	"Lindsey Islands"
"AQ"	"BIRDLIFE_29402"	"Litchfield Island"
"AQ"	"BIRDLIFE_45195"	"Lucas Island"
"AQ"	"BIRDLIFE_45177"	"Luitpold Coast"
"AQ"	"BIRDLIFE_30137"	"MacKellar Islands"
"AQ"	"BIRDLIFE_29429"	"Madder Cliffs, Joinville Island"
"AQ"	"BIRDLIFE_45194"	"Magnetic Island and nearby islands"
"AQ"	"BIRDLIFE_45236"	"Maher Island"
"AQ"	"BIRDLIFE_45218"	"Mandible Cirque"
"AQ"	"BIRDLIFE_45235"	"Mathewson Point, Shepard Island"
"AQ"	"BIRDLIFE_45229"	"McDonald Beach, Cape Bird"
"AQ"	"BIRDLIFE_45213"	"Mertz Glacier"
"AQ"	"BIRDLIFE_29428"	"Milosz Point / Czeslaw Point, King George Island"
"AQ"	"BIRDLIFE_29401"	"Moe Island"
"AQ"	"BIRDLIFE_45181"	"Mount Biscoe"
"AQ"	"BIRDLIFE_29446"	"Mount Elder, Elephant Island"
"AQ"	"BIRDLIFE_30141"	"Mount Paterson"
"AQ"	"BIRDLIFE_45178"	"Muskegbukta"
"AQ"	"BIRDLIFE_29442"	"North Foreland, King George Island"
"AQ"	"BIRDLIFE_29418"	"Owen Island, King George Island"
"AQ"	"BIRDLIFE_29456"	"O’Brien Island"
"AQ"	"BIRDLIFE_30922"	"Pacific, Antarctic 1 - Marine"
"AQ"	"BIRDLIFE_30923"	"Pacific, Antarctic 2 - Marine"
"AQ"	"BIRDLIFE_29399"	"Paulet Island"
"AQ"	"BIRDLIFE_29472"	"Pearl Rocks"
"AQ"	"BIRDLIFE_29409"	"Penguin Point, Seymour Island"
"AQ"	"BIRDLIFE_29436"	"Petermann Island"
"AQ"	"BIRDLIFE_45246"	"Peterson Island"
"AQ"	"BIRDLIFE_29490"	"Pirie Peninsula, Laurie Island"
"AQ"	"BIRDLIFE_45171"	"Point Hennequin, King George Island"
"AQ"	"BIRDLIFE_29450"	"Point Martin, Laurie Island"
"AQ"	"BIRDLIFE_29452"	"Point W of Cape Lookout, Elephant Island"
"AQ"	"BIRDLIFE_29420"	"Point W of Walker Point, Elephant Island"
"AQ"	"BIRDLIFE_30145"	"Pointe Géologie"
"AQ"	"BIRDLIFE_30146"	"Possession Island"
"AQ"	"BIRDLIFE_29479"	"Potter Peninsula, King George Island"
"AQ"	"BIRDLIFE_29427"	"Pottinger Point, King George Island"
"AQ"	"BIRDLIFE_45180"	"Princess Ragnhild Coast"
"AQ"	"BIRDLIFE_29444"	"Return Point / Cheal Point, Coronation Island"
"AQ"	"BIRDLIFE_30149"	"Riiser-Larsen Ice Shelf"
"AQ"	"BIRDLIFE_30148"	"Riiser-Larsen Peninsula"
"AQ"	"BIRDLIFE_29464"	"Robertson Islands"
"AQ"	"BIRDLIFE_45228"	"Rocky Point, Ross Island"
"AQ"	"BIRDLIFE_30150"	"Rookery Islands"
"AQ"	"BIRDLIFE_45196"	"Rookery Lake / W Long Peninsula"
"AQ"	"BIRDLIFE_29423"	"Rosenthal Islands"
"AQ"	"BIRDLIFE_47236"	"Ryder Bay Islands"
"AQ"	"BIRDLIFE_29430"	"Saddleback Point, Elephant Island"
"AQ"	"BIRDLIFE_45241"	"Schaefer Islands"
"AQ"	"BIRDLIFE_45245"	"Scorseby Head, Smyley Island"
"AQ"	"BIRDLIFE_30151"	"Scullin Monolith / Murray Monolith"
"AQ"	"BIRDLIFE_30116"	"Seabee Hook, Cape Hallett"
"AQ"	"BIRDLIFE_29482"	"Seal Islands"
"AQ"	"BIRDLIFE_30152"	"Shackleton Ice Shelf"
"AQ"	"BIRDLIFE_29457"	"Shingle Cove"
"AQ"	"BIRDLIFE_45201"	"Shirley Island / Beall Island"
"AQ"	"BIRDLIFE_29488"	"Signy Island"
"AQ"	"BIRDLIFE_45243"	"Sikorski Glacier, Noville Peninsula"
"AQ"	"BIRDLIFE_45244"	"Sims Island"
"AQ"	"BIRDLIFE_45176"	"Smith Peninsula"
"AQ"	"BIRDLIFE_29412"	"Snow Hill Island"
"AQ"	"BIRDLIFE_29393"	"Southern Powell Island and adjacent islands"
"AQ"	"BIRDLIFE_30154"	"Stancomb-Wills Glacier"
"AQ"	"BIRDLIFE_29449"	"Stinker Point, Elephant Island"
"AQ"	"BIRDLIFE_29470"	"Stonington Island"
"AQ"	"BIRDLIFE_30155"	"Sturge Island"
"AQ"	"BIRDLIFE_29459"	"Sugarloaf Island, Clarence Island"
"AQ"	"BIRDLIFE_30156"	"Svarthamaren"
"AQ"	"BIRDLIFE_29416"	"Tartar Island, King George Island"
"AQ"	"BIRDLIFE_30158"	"Taylor Rookery"
"AQ"	"BIRDLIFE_45237"	"Thurston Glacier"
"AQ"	"BIRDLIFE_29489"	"Trinity Island southwest"
"AQ"	"BIRDLIFE_45197"	"Tryne Islands"
"AQ"	"BIRDLIFE_29484"	"Tupinier Islands"
"AQ"	"BIRDLIFE_45191"	"Unnamed island at Donskiye Islands"
"AQ"	"BIRDLIFE_29424"	"Uruguay Island"
"AQ"	"BIRDLIFE_29405"	"Vapour Col, Deception Island"
"AQ"	"BIRDLIFE_45192"	"Warriner Island, Donskiye Islands"
"AQ"	"BIRDLIFE_29477"	"Watson Peninsula, Laurie Island"
"AQ"	"BIRDLIFE_45211"	"Way Archipelago"
"AQ"	"BIRDLIFE_45170"	"Weddell Islands"
"AQ"	"BIRDLIFE_29406"	"West Admiralty Bay, King George Island"
"AQ"	"BIRDLIFE_45198"	"West Ice Shelf"
"AQ"	"BIRDLIFE_45234"	"Worley Point, Shepard Island"
"AQ"	"BIRDLIFE_29460"	"Yankee Harbour, Greenwich Island"
"AQ"	"BIRDLIFE_45207"	"Île des Manchots / Empereur Island"
"AR"	"BIRDLIFE_19412"	"Abra Grande"
"AR"	"BIRDLIFE_19413"	"Acambuco"
"AR"	"BIRDLIFE_19603"	"Alta cuenca del arroyo Alegría"
"AR"	"BIRDLIFE_19604"	"Alta cuenca del arroyo Piray Guazú"
"AR"	"BIRDLIFE_19395"	"Alto Calilegua"
"AR"	"BIRDLIFE_19405"	"Aluminé-Moquehue"
"AR"	"BIRDLIFE_19545"	"Area Natural Protegida Auca Mahuida"
"AR"	"BIRDLIFE_19547"	"Area Natural Protegida El Mangrullo"
"AR"	"BIRDLIFE_19366"	"Arroyo Cristiano Muerto"
"AR"	"BIRDLIFE_19618"	"Azara"
"AR"	"BIRDLIFE_19355"	"Bahía de Samborombón y Punta Rasa"
"AR"	"BIRDLIFE_19565"	"Bajos Submeridionales"
"AR"	"BIRDLIFE_19617"	"Barra Concepción"
"AR"	"BIRDLIFE_19349"	"Barrancas de Baradero"
"AR"	"BIRDLIFE_19389"	"Bañado La Estrella Este"
"AR"	"BIRDLIFE_19390"	"Bañado La Estrella Oeste"
"AR"	"BIRDLIFE_19558"	"Bañado de Añatuya"
"AR"	"BIRDLIFE_19560"	"Bañados de Figueroa"
