GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	OBSERVER ORCID ID	SAMPLING EVENT IDENTIFIER	OBSERVATION TYPE	PROTOCOL NAME	PROTOCOL CODE	PROJECT NAMES	PROJECT IDENTIFIERS	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	CHECKLIST COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS2989516384	2025-03-24 00:31:28.108217	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				3					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Robert Platt Memorial Levee Trail	L41593260	P	33.2215230	-87.5658540	2025-03-23	16:34:00	obsr3774491		S220407132	Traveling	Traveling	P22			60	2.414		2	1	G14310966	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2961548910	2025-03-14 17:00:01.846794	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				3					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Rocky Branch Park	L2612316	H	33.2760286	-87.4145222	2025-03-14	06:50:00	obsr1139460		S218506434	Traveling	Traveling	P22			69	1.674		2	1	G14240710	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2966996453	2025-03-20 17:03:02.131583	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				2					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Commerce Rd., Tuscaloosa	L5805096	H	33.2133736	-87.6421747	2025-03-16	10:41:00	obsr451424		S218881179	Traveling	Traveling	P22			12	1.929		2	1	G14255747	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2966423389	2025-03-16 08:44:46.154903	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				4					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Lakefield Drive, Tuscaloosa	L10510092	H	33.1559565	-87.6336990	2025-03-16	07:30:00	obsr1073731		S218826543	Traveling	Traveling	P22			13	1.207		2	1	G14254293	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2923505497	2025-03-03 18:53:38.273542	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				6					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Lakefield Drive, Tuscaloosa	L10510092	H	33.1559565	-87.6336990	2025-03-02	08:10:00	obsr2615533		S216229669	Traveling	Traveling	P22			23	0.901		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS3009323595	2025-03-30 16:37:05.670319	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				2					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			17694 U.S. 43, Northport, Alabama, US (33.425, -87.605)	L27095723	P	33.4251511	-87.6054867	2025-03-30	09:20:00	obsr916618		S221925640	Stationary	Stationary	P21			26			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2968313062	2025-03-17 09:59:10.37814	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				1					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Western Riverwalk	L41309016	P	33.2113430	-87.5767710	2025-03-16	16:19:00	obsr3423678		S218979312	Traveling	Traveling	P22			130	3.868		2	1	G14263565	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS3005370236	2025-03-30 20:33:37.575882	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				5					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			University of Alabama Arboretum	L2117830	H	33.1945625	-87.4808264	2025-03-29	06:46:00	obsr451424		S221580320	Traveling	Traveling	P22			302	4.426		2	1	G14343766	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2993966878	2025-03-25 12:17:57.545187	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				1					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Tuscaloosa (town)	L41658793	P	33.2074623	-87.5532958	2025-03-25	10:47:00	obsr588957		S220713544	Traveling	Traveling	P22			18	2.607		2	1	G14319533	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS3004968347	2025-03-30 20:33:52.367627	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				5					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Randall Family Park and Trailhead	L17468589	H	33.2256396	-87.5266425	2025-03-29	07:04:00	obsr850449		S221535035	Traveling	Traveling	P22			135	2.076		19	1	G14348174	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2971104042	2025-03-17 17:27:43.059587	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				1					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Riverview Landing	L38115703	H	33.2225260	-87.5260590	2025-03-17	15:38:00	obsr2915343		S219123966	Traveling	Traveling	P22			48	1.923		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS3005588048	2025-03-29 14:14:17.796465	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				3					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Munny Sokol Park	L4032522	H	33.2652452	-87.5350821	2025-03-29	09:15:00	obsr374184		S221600679	Traveling	Traveling	P22			180	3.991		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2993895343	2025-03-25 12:15:48.190286	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				1					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Tuscaloosa (town)	L41658793	P	33.2074623	-87.5532958	2025-03-25	10:47:00	obsr908466		S220709304	Traveling	Traveling	P22			18	2.607		2	1	G14319533	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2938620184	2025-03-07 02:36:23.540525	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				2					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Van De Graaff Park	L6812257	H	33.2221657	-87.5991654	2025-03-04	16:30:00	obsr3031639		S216981239	Incidental	Incidental	P20						1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2985779175	2025-03-30 13:04:02.906345	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				4					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Sharpes Landing	L10883707	H	33.2912000	-87.5194270	2025-03-22	18:30:00	obsr1073731		S220126211	Traveling	Traveling	P22			72	0.200		2	1	G14300343	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS3005067242	2025-03-29 11:18:01.469395	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				3					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			13550 Hidden Valley Rd, Cottondale US-AL (33.0902,-87.3957)	L40255155	P	33.0902080	-87.3957410	2025-03-29	08:14:00	obsr2940210		S221547577	Stationary	Stationary	P21			122			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2963398761	2025-03-15 10:38:58.232907	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				1					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Home Sweet Home 🏡	L21162548	P	33.1787410	-87.4831320	2025-03-15	08:06:00	obsr3423678		S218628568	Stationary	Stationary	P21			60			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2961197915	2025-03-14 17:00:01.846794	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				3					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Rocky Branch Park	L2612316	H	33.2760286	-87.4145222	2025-03-14	06:50:00	obsr990599		S218482512	Traveling	Traveling	P22			69	1.674		2	1	G14240710	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2961203692	2025-03-14 17:00:01.758986	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				4					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Rocky Branch Park	L2612316	H	33.2760286	-87.4145222	2025-03-14	08:40:00	obsr990599		S218482667	Traveling	Traveling	P22			130	4.200		2	1	G14240709	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS3009898199	2025-03-30 20:33:52.367627	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				5					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Randall Family Park and Trailhead	L17468589	H	33.2256396	-87.5266425	2025-03-29	07:04:00	obsr3423678		S221968690	Traveling	Traveling	P22			135	2.076		19	1	G14348174	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2953345997	2025-03-11 18:51:07.06376	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				1					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			JMF	L7287743	P	33.2148430	-87.5676020	2025-03-11	16:50:00	obsr850449		S217966225	Traveling	Traveling	P22			60	1.372		1	1		0	1	0			Saw and heard call	
URN:CornellLabOfOrnithology:EBIRD:OBS2920142937	2025-03-01 23:25:36.561672	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				6					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			River Bend Turf	L5039140	H	33.1335213	-87.6534175	2025-03-01	06:48:00	obsr1073731		S216022483	Traveling	Traveling	P22			142	11.467		2	1	G14143492	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS3004943233	2025-03-30 20:33:58.098671	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				6					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Randall Family Park	L41817972	P	33.2249100	-87.5288470	2025-03-29	07:02:00	obsr3423678		S221532918	Traveling	Traveling	P22			153	2.973		2	1	G14343859	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS3003497617	2025-03-28 20:35:56.490933	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				2					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			2025 Jack Warner Pkwy, Tuscaloosa US-AL (33.2141,-87.5645)	L41793451	P	33.2140700	-87.5644540	2025-03-28	16:00:00	obsr3423678		S221410810	Stationary	Stationary	P21			15			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS3009095967	2025-03-30 20:33:52.367627	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				5					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Randall Family Park and Trailhead	L17468589	H	33.2256396	-87.5266425	2025-03-29	07:04:00	obsr1152076		S221907258	Traveling	Traveling	P22			135	2.076		19	1	G14348174	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2936188677	2025-03-06 07:50:18.760794	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				1					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			23rd Street Area, Tuscaloosa	L12228602	P	33.1882745	-87.5396724	2025-03-06	06:34:00	obsr451424		S216852775	Stationary	Stationary	P21			15			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS3003953731	2025-03-29 01:01:12.389922	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				1					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			University of Alabama	L38588225	P	33.2166920	-87.5499850	2025-03-28	08:30:00	obsr3031639		S221427390	Incidental	Incidental	P20						1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2955031426	2025-03-13 10:15:42.993111	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				6					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			River Bend Turf	L5039140	H	33.1335213	-87.6534175	2025-03-12	07:16:00	obsr351904		S218051873	Traveling	Traveling	P22			113	5.311		2	1	G14230236	0	1	0		47-56 degrees and clear.		
URN:CornellLabOfOrnithology:EBIRD:OBS3006796104	2025-03-30 20:33:52.367627	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				5					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Randall Family Park and Trailhead	L17468589	H	33.2256396	-87.5266425	2025-03-29	07:04:00	obsr1783375		S221698150	Traveling	Traveling	P22			135	2.076		19	1	G14348174	0	1	0		Overcast sky--Temp of 67 degrees F--Wind from NE at 3-8 mph--71% humidity--Local Tuscaloosa Birding Group (2025 Spring Migration birding trip #1)		
URN:CornellLabOfOrnithology:EBIRD:OBS2920371495	2025-03-01 12:27:07.480057	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				2					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Palmore Park Swamp	L7240596	H	33.1763225	-87.6040750	2025-03-01	09:09:00	obsr1671189		S216041474	Traveling	Traveling	P22			75	1.850		3	1	G14144655	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2984898818	2025-03-22 15:13:33.654156	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				1					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Tuscaloosa I-20 W, Tuscaloosa US-AL 33.17514, -87.48042	L41525952	P	33.1751410	-87.4804240	2025-03-22	14:04:00	obsr113397		S220062268	Traveling	Traveling	P22			3	7.412		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2966874563	2025-03-20 17:03:07.985627	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				2					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			River Bend Turf	L5039140	H	33.1335213	-87.6534175	2025-03-16	08:38:00	obsr451424		S218869929	Traveling	Traveling	P22			91	16.270		2	1	G14255396	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2927825902	2025-03-03 14:25:19.100681	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				1					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		28			Tannehill Ironworks Historical Park	L1132450	H	33.2510342	-87.0666504	2025-03-03	08:05:00	obsr556872		S216476722	Traveling	Traveling	P22			35	1.127		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS3005385095	2025-03-30 20:33:37.575882	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				5					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			University of Alabama Arboretum	L2117830	H	33.1945625	-87.4808264	2025-03-29	06:46:00	obsr2915343		S221580724	Traveling	Traveling	P22			302	4.426		2	1	G14343766	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS3010099727	2025-03-30 21:42:20.587203	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				2					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Cypress Pond	L654530	H	33.0724477	-87.6296997	2025-03-30	19:20:00	obsr3031639		S221977988	Incidental	Incidental	P20						1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2945483447	2025-03-09 21:36:25.027228	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				1					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Lakefield Drive, Tuscaloosa	L10510092	H	33.1559565	-87.6336990	2025-03-09	08:16:00	obsr1073731		S217440256	Traveling	Traveling	P22			19	0.981		2	1	G14199452	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2966423408	2025-03-16 08:44:46.154903	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				4					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Lakefield Drive, Tuscaloosa	L10510092	H	33.1559565	-87.6336990	2025-03-16	07:30:00	obsr451424		S218826544	Traveling	Traveling	P22			13	1.207		2	1	G14254293	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2967273347	2025-04-05 21:46:05.980808	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				23					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Cypress Pond	L654530	H	33.0724477	-87.6296997	2025-03-16	10:57:00	obsr212979		S218906001	Traveling	Traveling	P22			85	21.308		2	1		0	1	0		64 degrees, partly sunny, wind W11.		
URN:CornellLabOfOrnithology:EBIRD:OBS3005092395	2025-03-29 11:22:03.453589	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				2					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		28			Tannehill Ironworks Historical Park	L1132450	H	33.2510342	-87.0666504	2025-03-26	07:15:00	obsr556872		S221549108	Traveling	Traveling	P22			50	1.609		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS3006731434	2025-03-30 20:33:52.367627	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				5					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Randall Family Park and Trailhead	L17468589	H	33.2256396	-87.5266425	2025-03-29	07:04:00	obsr3774491		S221694605	Traveling	Traveling	P22			135	2.076		19	1	G14348174	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2983885996	2025-03-22 09:40:35.278399	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				4					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Cypress Pond	L654530	H	33.0724477	-87.6296997	2025-03-22	07:08:00	obsr990599		S219961209	Traveling	Traveling	P22			91	5.182		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2981239170	2025-03-21 11:07:37.667175	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				1					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			13550 Hidden Valley Rd, Cottondale US-AL (33.0902,-87.3957)	L40255155	P	33.0902080	-87.3957410	2025-03-21	08:50:00	obsr2940210		S219777605	Traveling	Traveling	P22			77	0.217		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2984028780	2025-03-22 10:27:54.275105	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				16					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Fosters Loop — Benton Bend	L26410636	P	33.1082210	-87.6507680	2025-03-22	08:44:00	obsr990599		S219976617	Traveling	Traveling	P22			43	7.854		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2923439134	2025-03-02 14:17:06.645281	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				5					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			River Bend Turf	L5039140	H	33.1335213	-87.6534175	2025-03-02	06:30:00	obsr2615533		S216221753	Traveling	Traveling	P22			93	28.425		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS3009418857	2025-03-30 17:15:29.683739	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				3					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			River Bend Turf	L5039140	H	33.1335213	-87.6534175	2025-03-30	15:11:00	obsr1073731		S221934151	Traveling	Traveling	P22			60	13.532		2	1	G14355008	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2963804804	2025-04-05 21:30:14.856154	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				1					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Randall Family Park and Trailhead	L17468589	H	33.2256396	-87.5266425	2025-03-15	10:16:00	obsr212979		S218663966	Traveling	Traveling	P22			67	2.639		2	1		0	1	0		Cloudy, 73 degrees, wind SSE at 10 mph		
